SOC_CODE,OCC_TITLE,A_MEAN
251192,"Family and Consumer Sciences Teachers, Postsecondary",81580
251193,"Recreation and Fitness Studies Teachers, Postsecondary",75430
251194,"Career/Technical Education Teachers, Postsecondary",61710
251199,"Postsecondary Teachers, All Other",86430
252000,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",63100
252010,Preschool and Kindergarten Teachers,42570
252011,"Preschool Teachers, Except Special Education",36550
252012,"Kindergarten Teachers, Except Special Education",61170
252020,Elementary and Middle School Teachers,65300
252021,"Elementary School Teachers, Except Special Education",65420
252022,"Middle School Teachers, Except Special and Career/Technical Education",64990
252023,"Career/Technical Education Teachers, Middle School",66950
252030,Secondary School Teachers,67240
252031,"Secondary School Teachers, Except Special and Career/Technical Education",67340
252032,"Career/Technical Education Teachers, Secondary School",65870
252050,Special Education Teachers,65920
252051,"Special Education Teachers, Preschool",68110
252052,"Special Education Teachers, Kindergarten and Elementary School",64790
252057,"Special Education Teachers, Middle School",66300
252058,"Special Education Teachers, Secondary School",66490
252059,"Special Education Teachers, All Other",67670
253000,Other Teachers and Instructors,43520
253010,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",59810
253011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",59810
253020,Self-Enrichment Teachers,47930
253021,Self-Enrichment Teachers,47930
253030,"Substitute Teachers, Short-Term",36090
253031,"Substitute Teachers, Short-Term",36090
253097,"Tutors and Teachers and Instructors, All Other",50390
254000,"Librarians, Curators, and Archivists",54400
254010,"Archivists, Curators, and Museum Technicians",56960
254011,Archivists,61210
254012,Curators,61650
254013,Museum Technicians and Conservators,49990
254020,Librarians and Media Collections Specialists,63560
254022,Librarians and Media Collections Specialists,63560
254030,Library Technicians,39630
254031,Library Technicians,39630
259000,Other Educational Instruction and Library Occupations,36790
259020,Farm and Home Management Educators,54870
259021,Farm and Home Management Educators,54870
259030,Instructional Coordinators,70160
259031,Instructional Coordinators,70160
259040,Teaching Assistants,31500
259044,"Teaching Assistants, Postsecondary",39460
259045,"Teaching Assistants, Except Postsecondary",30630
259090,Miscellaneous Educational Instruction and Library Workers,47210
259099,"Educational Instruction and Library Workers, All Other",47210
270000,"Arts, Design, Entertainment, Sports, and Media Occupations",64400
271000,Art and Design Workers,59150
271010,Artists and Related Workers,93530
271011,Art Directors,114490
271012,Craft Artists,38260
271013,"Fine Artists, Including Painters, Sculptors, and Illustrators",65020
271014,Special Effects Artists and Animators,88080
271019,"Artists and Related Workers, All Other",69650
271020,Designers,53030
271021,Commercial and Industrial Designers,76290
271022,Fashion Designers,87210
271023,Floral Designers,30670
271024,Graphic Designers,58370
271025,Interior Designers,61400
271026,Merchandise Displayers and Window Trimmers,34550
271027,Set and Exhibit Designers,64610
271029,"Designers, All Other",71340
272000,"Entertainers and Performers, Sports and Related Workers",65700
272010,"Actors, Producers, and Directors",88190
272011,Actors,
272012,Producers and Directors,96690
272020,"Athletes, Coaches, Umpires, and Related Workers",48310
272021,Athletes and Sports Competitors,94740
272022,Coaches and Scouts,47100
272023,"Umpires, Referees, and Other Sports Officials",40140
272030,Dancers and Choreographers,52110
272031,Dancers,
272032,Choreographers,52000
272040,"Musicians, Singers, and Related Workers",
272041,Music Directors and Composers,65720
272042,Musicians and Singers,
272090,"Miscellaneous Entertainers and Performers, Sports and Related Workers",
272090,"Miscellaneous Entertainers and Performers, Sports and Related Workers",
273000,Media and Communication Workers,70180
273010,Broadcast Announcers and Radio Disc Jockeys,57300
273011,Broadcast Announcers and Radio Disc Jockeys,57300
273020,"News Analysts, Reporters and Journalists",66000
273023,"News Analysts, Reporters, and Journalists",66000
273030,Public Relations Specialists,71940
273031,Public Relations Specialists,71940
273040,Writers and Editors,76270
273041,Editors,73910
273042,Technical Writers,78590
273043,Writers and Authors,78680
273090,Miscellaneous Media and Communication Workers,58840
273091,Interpreters and Translators,58140
273092,Court Reporters and Simultaneous Captioners,66710
273099,"Media and Communication Workers, All Other",55540
274000,Media and Communication Equipment Workers,59990
274011,Audio and Video Technicians,53390
274012,Broadcast Technicians,49250
274014,Sound Engineering Technicians,67210
274020,Photographers,50290
274021,Photographers,50290
274030,"Television, Video, and Film Camera Operators and Editors",76130
274031,"Camera Operators, Television, Video, and Film",67590
274032,Film and Video Editors,83880
274098,"Lighting Technicians and Media and Communication Equipment Workers, All Other",74880
290000,Healthcare Practitioners and Technical Occupations,85900
291000,Healthcare Diagnosing or Treating Practitioners,105220
291010,Chiropractors,83830
291011,Chiropractors,83830
291020,Dentists,186300
291021,"Dentists, General",180830
291022,Oral and Maxillofacial Surgeons,234990
291023,Orthodontists,237990
291024,Prosthodontists,214870
291029,"Dentists, All Other Specialists",194930
291030,Dietitians and Nutritionists,64150
291031,Dietitians and Nutritionists,64150
291040,Optometrists,125440
291041,Optometrists,125440
291050,Pharmacists,125460
291051,Pharmacists,125460
291070,Physician Assistants,116080
291071,Physician Assistants,116080
291080,Podiatrists,151110
291081,Podiatrists,151110
291120,Therapists,82030
291122,Occupational Therapists,87480
291123,Physical Therapists,91680
291124,Radiation Therapists,94300
291125,Recreational Therapists,51260
291126,Respiratory Therapists,65640
291127,Speech-Language Pathologists,83240
291128,Exercise Physiologists,54020
291129,"Therapists, All Other",62090
291130,Veterinarians,108350
291131,Veterinarians,108350
291140,Registered Nurses,80010
291141,Registered Nurses,80010
291150,Nurse Anesthetists,189190
291151,Nurse Anesthetists,189190
291160,Nurse Midwives,115540
291161,Nurse Midwives,115540
291170,Nurse Practitioners,114510
291171,Nurse Practitioners,114510
291180,Audiologists,89230
291181,Audiologists,89230
291211,Anesthesiologists,271440
291215,Family Medicine Physicians,214370
291216,General Internal Medicine Physicians,210960
291218,Obstetricians and Gynecologists,239120
291221,"Pediatricians, General",184570
291223,Psychiatrists,217100
291228,"Physicians, All Other; and Ophthalmologists, Except Pediatric",218850
291248,"Surgeons, Except Ophthalmologists",251650
291290,Miscellaneous Healthcare Diagnosing or Treating Practitioners,81060
291292,Dental Hygienists,78050
291298,"Acupuncturists and Healthcare Diagnosing or Treating Practitioners, All Other",97270
292000,Health Technologists and Technicians,48990
292010,Clinical Laboratory Technologists and Technicians,55990
292010,Clinical Laboratory Technologists and Technicians,55990
292031,Cardiovascular Technologists and Technicians,60940
292032,Diagnostic Medical Sonographers,77790
292033,Nuclear Medicine Technologists,82080
292034,Radiologic Technologists and Technicians,64840
292035,Magnetic Resonance Imaging Technologists,75960
292040,Emergency Medical Technicians and Paramedics,40370
292040,Emergency Medical Technicians and Paramedics,40370
292050,Health Practitioner Support Technologists and Technicians,38970
292051,Dietetic Technicians,32920
292052,Pharmacy Technicians,36450
292053,Psychiatric Technicians,38080
292055,Surgical Technologists,51510
292056,Veterinary Technologists and Technicians,37860
292057,Ophthalmic Medical Technicians,40010
292060,Licensed Practical and Licensed Vocational Nurses,50090
292061,Licensed Practical and Licensed Vocational Nurses,50090
292080,"Opticians, Dispensing",41380
292081,"Opticians, Dispensing",41380
292091,Orthotists and Prosthetists,74120
292092,Hearing Aid Specialists,54630
292098,"Medical Dosimetrists, Medical Records Specialists, and Health Technologists and Technicians, All Other",48270
299000,Other Healthcare Practitioners and Technical Occupations,59280
299091,Athletic Trainers,52230
299092,Genetic Counselors,89710
299098,"Health Information Technologists, Medical Registrars, Surgical Assistants, and Healthcare Practitioners and Technical Workers, All Other",60900
310000,Healthcare Support Occupations,32250
311100,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",29320
311120,Home Health and Personal Care Aides,28060
311120,Home Health and Personal Care Aides,28060
311130,"Nursing Assistants, Orderlies, and Psychiatric Aides",32090
311131,Nursing Assistants,32050
311132,Orderlies,31780
311133,Psychiatric Aides,33300
312000,Occupational Therapy and Physical Therapist Assistants and Aides,52400
312010,Occupational Therapy Assistants and Aides,60010
312011,Occupational Therapy Assistants,63420
312012,Occupational Therapy Aides,34160
312020,Physical Therapist Assistants and Aides,49750
312021,Physical Therapist Assistants,59440
312022,Physical Therapist Aides,30110
319000,Other Healthcare Support Occupations,38540
319010,Massage Therapists,47350
319011,Massage Therapists,47350
319090,Miscellaneous Healthcare Support Occupations,38030
319091,Dental Assistants,42310
319092,Medical Assistants,36930
319093,Medical Equipment Preparers,41070
319094,Medical Transcriptionists,37310
319095,Pharmacy Aides,32250
319096,Veterinary Assistants and Laboratory Animal Caretakers,30980
319097,Phlebotomists,37280
319099,"Healthcare Support Workers, All Other",41430
330000,Protective Service Occupations,52220
331000,Supervisors of Protective Service Workers,79080
331010,First-Line Supervisors of Law Enforcement Workers,88190
331011,First-Line Supervisors of Correctional Officers,67600
331012,First-Line Supervisors of Police and Detectives,97180
331020,First-Line Supervisors of Firefighting and Prevention Workers,83170
331021,First-Line Supervisors of Firefighting and Prevention Workers,83170
331090,"Miscellaneous First-Line Supervisors, Protective Service Workers",55210
331090,"Miscellaneous First-Line Supervisors, Protective Service Workers",55210
332000,Firefighting and Prevention Workers,56800
332010,Firefighters,56360
332011,Firefighters,56360
332020,Fire Inspectors,65010
332021,Fire Inspectors and Investigators,67680
332022,Forest Fire Inspectors and Prevention Specialists,52130
333000,Law Enforcement Workers,65240
333010,"Bailiffs, Correctional Officers, and Jailers",52310
333011,Bailiffs,51730
333012,Correctional Officers and Jailers,52340
333020,Detectives and Criminal Investigators,89300
333021,Detectives and Criminal Investigators,89300
333030,Fish and Game Wardens,57810
333031,Fish and Game Wardens,57810
333040,Parking Enforcement Workers,44870
333041,Parking Enforcement Workers,44870
333050,Police Officers,70010
333051,Police and Sheriff's Patrol Officers,70000
333052,Transit and Railroad Police,71000
339000,Other Protective Service Workers,34940
339010,Animal Control Workers,40680
339011,Animal Control Workers,40680
339020,Private Detectives and Investigators,60100
339021,Private Detectives and Investigators,60100
339030,Security Guards and Gambling Surveillance Officers,34410
339031,Gambling Surveillance Officers and Gambling Investigators,39910
339032,Security Guards,34360
339090,Miscellaneous Protective Service Workers,34140
339091,Crossing Guards and Flaggers,34220
339092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",27050
339093,Transportation Security Screeners,44920
339098,"School Bus Monitors and Protective Service Workers, All Other",36140
350000,Food Preparation and Serving Related Occupations,27650
351000,Supervisors of Food Preparation and Serving Workers,40010
351010,Supervisors of Food Preparation and Serving Workers,40010
351011,Chefs and Head Cooks,58740
351012,First-Line Supervisors of Food Preparation and Serving Workers,37880
352000,Cooks and Food Preparation Workers,27820
352010,Cooks,28180
352011,"Cooks, Fast Food",24300
352012,"Cooks, Institution and Cafeteria",29940
352013,"Cooks, Private Household",46810
352014,"Cooks, Restaurant",29530
352015,"Cooks, Short Order",27030
352019,"Cooks, All Other",32350
352020,Food Preparation Workers,26820
352021,Food Preparation Workers,26820
353000,Food and Beverage Serving Workers,25930
353010,Bartenders,28910
353011,Bartenders,28910
353020,Fast Food and Counter Workers,24540
353023,Fast Food and Counter Workers,24540
353030,Waiters and Waitresses,27470
353031,Waiters and Waitresses,27470
353040,"Food Servers, Nonrestaurant",27460
353041,"Food Servers, Nonrestaurant",27460
359000,Other Food Preparation and Serving Related Workers,25740
359010,Dining Room and Cafeteria Attendants and Bartender Helpers,26300
359011,Dining Room and Cafeteria Attendants and Bartender Helpers,26300
359020,Dishwashers,25600
359021,Dishwashers,25600
359030,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",24800
359031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",24800
359090,Miscellaneous Food Preparation and Serving Related Workers,27880
359099,"Food Preparation and Serving Related Workers, All Other",27880
370000,Building and Grounds Cleaning and Maintenance Occupations,32760
371000,Supervisors of Building and Grounds Cleaning and Maintenance Workers,49110
371010,First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers,49110
371011,First-Line Supervisors of Housekeeping and Janitorial Workers,45500
371012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",54040
372000,Building Cleaning and Pest Control Workers,30760
372010,Building Cleaning Workers,30490
372011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",31410
372012,Maids and Housekeeping Cleaners,28010
372019,"Building Cleaning Workers, All Other",38860
372020,Pest Control Workers,40350
372021,Pest Control Workers,40350
373000,Grounds Maintenance Workers,34590
373010,Grounds Maintenance Workers,34590
373011,Landscaping and Groundskeeping Workers,33800
373012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",39130
373013,Tree Trimmers and Pruners,44040
373019,"Grounds Maintenance Workers, All Other",40270
390000,Personal Care and Service Occupations,32610
391000,Supervisors of Personal Care and Service Workers,46350
391013,First-Line Supervisors of Gambling Services Workers,51160
391098,"First-Line Supervisors of Personal Service and Entertainment and Recreation Workers, Except Gambling Services",45820
392000,Animal Care and Service Workers,29060
392010,Animal Trainers,37950
392011,Animal Trainers,37950
392020,Animal Caretakers,28380
392021,Animal Caretakers,28380
393000,Entertainment Attendants and Related Workers,26560
393010,Gambling Services Workers,26940
393011,Gambling Dealers,26110
393012,Gambling and Sports Book Writers and Runners,27130
393019,"Gambling Service Workers, All Other",33340
